Modality,Annotation Size,TN
lpd_unet_0_1,138.0,261601.28125
lpd_unet_0_1,206.0,261864.25
lpd_unet_0_1,24.25,262058.234375
lpd_unet_0_1,28.5,262072.375
lpd_unet_0_1,56.0,262048.359375
lpd_unet_0_1,242.0,261482.0625
lpd_unet_0_1,308.333333333,261600.609375
lpd_unet_0_1,307.5,261567.28125
lpd_unet_0_1,422.75,261472.78125
lpd_unet_0_1,447.25,261432.46875
lpd_unet_0_1,456.0,261371.875
lpd_unet_0_1,461.0,261455.359375
lpd_unet_0_1,481.0,261374.953125
lpd_unet_0_1,520.5,261404.1953125
lpd_unet_0_1,525.25,261448.8671875
lpd_unet_0_1,548.5,261475.15625
lpd_unet_0_1,552.0,261342.484375
lpd_unet_0_1,528.5,261510.984375
lpd_unet_0_1,540.5,261513.25
lpd_unet_0_1,551.75,261409.65625
lpd_unet_0_1,416.0,261561.9375
lpd_unet_0_1,333.5,261641.625
lpd_unet_0_1,315.5,261745.71875
lpd_unet_0_1,181.25,262023.046875
lpd_unet_0_1,126.5,261906.53125
lpd_unet_0_1,80.25,262075.765625
lpd_unet_0_1,59.6666666667,262020.609375
lpd_unet_0_1,62.6666666667,262034.46875
lpd_unet_0_1,68.6666666667,262051.34375
lpd_unet_0_1,75.3333333333,262041.40625
lpd_unet_0_1,40.6666666667,262066.515625
lpd_unet_0_1,54.3333333333,261803.265625
lpd_unet_0_1,16.4,261986.8125
lpd_unet_0_1,23.5714285714,261839.875
lpd_unet_0_1,42.7142857143,261658.6875
lpd_unet_0_1,87.25,261621.65625
